,Contact type_x,User_ID,Search_Date,Search Type,Search_On,Results,Execution time (s),Search Origin
64,Client,VB1CT431       ,4/7/2020,Multiple,,17,0.038,FrontEnd quick search
65,Client,,6/5/2020,Multiple,blair,9,0.039,FrontEnd quick search
66,Client,,6/3/2020,Multiple,&quot;Daniel Diermeier&quot;,0,0,FrontEnd quick search
67,Client,,6/3/2020,Multiple,robinson,0,0,BackEnd advanced search
68,Client,,6/3/2020,Multiple,robinson,0,0,BackEnd advanced search
69,Client,,6/3/2020,Multiple,robinson,0,0,BackEnd advanced search
70,Client,,6/3/2020,Multiple,robinson,0,0,FrontEnd quick search
71,Client,,6/1/2020,Multiple,statue,0,0,FrontEnd quick search
72,Client,,6/1/2020,Multiple,keivan stassun,0,0,FrontEnd quick search
73,Client,,6/1/2020,Multiple,media archives,0,0,FrontEnd quick search
74,Client,,6/1/2020,Multiple,,17,0.023,BackEnd advanced search
75,Client,,6/1/2020,Multiple,caroline jansen,0,0,BackEnd quick search
76,Client,,6/1/2020,Multiple,caroline jansen,0,0,BackEnd quick search
77,Client,,6/1/2020,Multiple,caroline jansen,0,0,BackEnd quick search
78,Client,,6/1/2020,Multiple,caroline jansen,0,0.002,FrontEnd quick search
79,Client,,6/1/2020,Multiple,Harvey,0,0,BackEnd quick search
80,Client,,6/1/2020,Multiple,TS Harvey,0,0,BackEnd advanced search
81,Client,,6/1/2020,Multiple,T.S. Harvey / TS Harvey,0,0.021,BackEnd quick search
82,Client,,6/1/2020,Multiple,T.S. Harvey,0,0,FrontEnd quick search
83,Client,,6/1/2020,Multiple,tara mckay,0,0,FrontEnd quick search
84,Client,,5/29/2020,Multiple,,17,0.021,BackEnd advanced search
85,Client,,5/29/2020,Multiple,2015119JR369,0,0,BackEnd advanced search
86,Client,,5/29/2020,Multiple,2015119JR369 / 2015119JR369,0,0,BackEnd quick search
87,Client,,5/29/2020,Multiple,2015119JR369,0,0,FrontEnd quick search
88,Client,,5/28/2020,Multiple,test,1,0.033,FrontEnd quick search
89,Client,,5/28/2020,Multiple,neuroscience,0,0,FrontEnd quick search
90,Client,,5/28/2020,Multiple,dara,0,0,BackEnd quick search
91,Client,,5/28/2020,Multiple,dara,0,0,FrontEnd quick search
92,Client,,5/27/2020,Multiple,Jesus Gomez-Velez,0,0,FrontEnd quick search
93,Client,,5/22/2020,Multiple,,17,0.024,BackEnd quick search
94,Client,,5/22/2020,Multiple,admissions,0,0,BackEnd advanced search
95,Client,,5/22/2020,Multiple,admissions,0,0,BackEnd quick search
96,Client,,5/22/2020,Multiple,opportunity vanderbilt,0,0,BackEnd quick search
97,Client,,5/22/2020,Multiple,,17,0.023,BackEnd advanced search
98,Client,,5/22/2020,Multiple,financial aid,0,0,BackEnd quick search
99,Client,,5/22/2020,Multiple,,17,0.025,BackEnd advanced search
100,Client,,5/22/2020,Multiple,&quot;Financial Aid Office&quot;,0,0,FrontEnd quick search
101,Client,,5/22/2020,Multiple,zijlstra,0,0,BackEnd quick search
102,Client,,5/22/2020,Multiple,weaver,0,0,BackEnd quick search
103,Client,,5/22/2020,Multiple,,17,0.028,BackEnd advanced search
104,Client,,5/22/2020,Multiple,Alyssa weaver,0,0.001,FrontEnd quick search
105,Client,,5/22/2020,Multiple,&quot;Daniel Diermeier&quot; / diermeier,0,0.024,BackEnd quick search
106,Client,,5/22/2020,Multiple,&quot;Daniel Diermeier&quot;,0,0,FrontEnd quick search
107,Client,,5/21/2020,Multiple,immersion,0,0,FrontEnd quick search
108,Client,,5/20/2020,Multiple,josh clinton,0,0,FrontEnd quick search
109,Client,,5/19/2020,Multiple,login,0,0,FrontEnd quick search
110,Client,,5/14/2020,Multiple,nashville,12,0.024,BackEnd advanced search
111,Client,,5/14/2020,Multiple,nashville,12,0.026,BackEnd advanced search
112,Client,,5/14/2020,Multiple,nashville,12,0.027,BackEnd advanced search
113,Client,,5/14/2020,Multiple,nashville,12,0.037,BackEnd advanced search
114,Client,,5/14/2020,Multiple,nashville,12,0.03,BackEnd quick search
115,Client,,5/14/2020,Multiple,nashville,0,0,FrontEnd quick search
116,Client,,5/14/2020,Multiple,nashville,12,0.561,FrontEnd quick search
117,Client,,5/12/2020,Multiple,&quot;students event&quot;,0,0,FrontEnd quick search
118,Client,,5/12/2020,Multiple,students,0,0,FrontEnd quick search
119,Client,,5/12/2020,Multiple,dorm,0,0,FrontEnd quick search
120,Client,,5/12/2020,Multiple,move in / dorms,0,0.001,BackEnd advanced search
121,Client,,5/12/2020,Multiple,move in / dorms,0,0.001,BackEnd advanced search
122,Client,,5/12/2020,Multiple,move in / dorms,0,0.001,BackEnd quick search
123,Client,,5/12/2020,Multiple,move in,0,0,FrontEnd quick search
124,Client,,5/12/2020,Multiple,media,0,0,FrontEnd quick search
125,Client,,5/11/2020,Multiple,engineering,1,0.031,FrontEnd quick search
126,Client,,5/11/2020,Multiple,ellisbw,0,0,FrontEnd quick search
127,Client,,5/8/2020,Multiple,eichman / brandt,0,0,BackEnd quick search
128,Client,,5/8/2020,Multiple,eichman,0,0,FrontEnd quick search
129,Client,,5/8/2020,Multiple,staff,0,0.001,FrontEnd quick search
130,Client,,5/7/2020,Multiple,students / student,0,0,BackEnd quick search
131,Client,,5/7/2020,Multiple,students,0,0.001,FrontEnd quick search
132,Client,,5/7/2020,Multiple,marnett,0,0,BackEnd quick search
133,Client,,5/7/2020,Multiple,mcn,0,0,BackEnd quick search
134,Client,,5/7/2020,Multiple,mcn,0,0,BackEnd advanced search
135,Client,,5/7/2020,Multiple,school of medicine / mcn,0,0.001,BackEnd quick search
136,Client,,5/7/2020,Multiple,school of medicine,0,0,FrontEnd quick search
137,Client,,5/7/2020,Multiple,ventilator,0,0,FrontEnd quick search
138,Client,,5/5/2020,Multiple,EBI,3,0.06,FrontEnd quick search
139,Client,,5/5/2020,Multiple,campus,12,0.039,FrontEnd quick search
140,Client,,5/5/2020,Multiple,campus / recreation,0,0,BackEnd quick search
141,Client,,5/5/2020,Multiple,campus / rec center,0,0.001,BackEnd quick search
142,Client,,5/5/2020,Multiple,campus / rec,0,0,BackEnd quick search
143,Client,,5/5/2020,Multiple,campus,13,0.249,FrontEnd quick search
144,Client,,5/5/2020,Multiple,,17,0.802,BackEnd advanced search
145,Client,,5/5/2020,Multiple,,0,0,BackEnd advanced search
146,Client,,5/5/2020,Multiple,,16,0.487,BackEnd advanced search
147,Client,,5/5/2020,Multiple,,17,0.835,BackEnd advanced search
148,Client,,5/5/2020,Multiple,campus,12,0.605,BackEnd quick search
149,Client,,5/5/2020,Multiple,campus,13,0.085,FrontEnd quick search
150,Client,,5/5/2020,Multiple,campus,12,1.02,FrontEnd quick search
151,Client,,5/5/2020,Multiple,,17,0.135,BackEnd advanced search
152,Client,,5/5/2020,Multiple,,17,0.926,FrontEnd quick search
153,Client,,5/5/2020,Multiple,&quot;research lab&quot;,0,0,FrontEnd quick search
154,Client,,5/5/2020,Multiple,research lab,0,0,FrontEnd quick search
155,Client,,5/5/2020,Multiple,,17,1.156,FrontEnd quick search
156,Client,,5/5/2020,Multiple,ebi,3,1.003,FrontEnd quick search
157,Client,,5/4/2020,Multiple,kirkland,4,0.03,FrontEnd quick search
158,Client,,4/30/2020,Multiple,,17,0.024,BackEnd quick search
159,Client,,4/30/2020,Multiple,&quot;E Bronson Ingram&quot;,3,0.033,BackEnd quick search
160,Client,,4/30/2020,Multiple,Bronson,3,0.028,BackEnd advanced search
161,Client,,4/30/2020,Multiple,Bronson,3,0.034,BackEnd advanced search
162,Client,,4/30/2020,Multiple,&quot;E. Bronson Ingram&quot; / Bronson,3,0.084,BackEnd quick search
163,Client,,4/30/2020,Multiple,&quot;E. Bronson Ingram&quot;,3,0.086,FrontEnd quick search
164,Client,,4/29/2020,Multiple,&quot;Feathering Hall&quot;,0,0,BackEnd advanced search
165,Client,,4/29/2020,Multiple,Featheringill / &quot;Feathering Hall&quot;,0,0,BackEnd quick search
166,Client,,4/29/2020,Multiple,Featheringill,0,0,FrontEnd quick search
167,Client,,4/28/2020,Multiple,&quot;E. Bronson College&quot;,0,0,BackEnd advanced search
168,Client,,4/28/2020,Multiple,EBI library / &quot;E. Bronson College&quot;,0,0.006,BackEnd quick search
169,Client,,4/28/2020,Multiple,EBI library,0,0.001,FrontEnd quick search
170,Client,,4/27/2020,Multiple,engineering,1,0.034,FrontEnd quick search
171,Client,,4/24/2020,Multiple,ascano,0,0,BackEnd advanced search
172,Client,,4/24/2020,Multiple,manuel ascano / ascano,0,0,BackEnd quick search
173,Client,,4/24/2020,Multiple,vesna / pavlovic,0,0,BackEnd quick search
174,Client,,4/24/2020,Multiple,vesna,0,0,FrontEnd quick search
175,Client,,4/24/2020,Multiple,manuel ascano,0,0,FrontEnd quick search
176,Client,,4/24/2020,Multiple,&quot;Class of 2020&quot;,0,0.001,FrontEnd quick search
177,Client,,4/24/2020,Multiple,,17,0.033,FrontEnd quick search
178,Client,,4/22/2020,Multiple,baseball / john russell or joe howell,4,0.027,BackEnd advanced search
179,Client,,4/22/2020,Multiple,baseball / john russell,3,0.047,BackEnd advanced search
180,Client,,4/22/2020,Multiple,baseball,4,0.027,FrontEnd quick search
181,Client,,4/22/2020,Multiple,baseball,4,0.024,FrontEnd quick search
182,Client,,4/21/2020,Multiple,lovinger,0,0,FrontEnd quick search
183,Client,,4/17/2020,Multiple,,17,0.033,FrontEnd quick search
184,Client,,4/16/2020,Multiple,Commons,0,0,FrontEnd quick search
185,Client,,4/15/2020,Multiple,crawford house / Commons,0,0,BackEnd quick search
186,Client,,4/15/2020,Multiple,crawford house,0,0,FrontEnd quick search
187,Client,,4/15/2020,Multiple,dan morgan,0,0,FrontEnd quick search
188,Client,,4/14/2020,Multiple,20191216JR044.JPG,0,0,FrontEnd quick search
189,Client,,4/14/2020,Multiple,nnamdi,0,0,FrontEnd quick search
190,Client,,4/13/2020,Multiple,&quot;iris center&quot;,0,0,FrontEnd quick search
191,Client,,4/10/2020,Multiple,,17,0.031,BackEnd advanced search
192,Client,,4/10/2020,Multiple,,3,0.025,BackEnd advanced search
193,Client,,4/10/2020,Multiple,,1,0.041,BackEnd advanced search
194,Client,,4/10/2020,Multiple,,1,0.022,BackEnd advanced search
195,Client,,4/10/2020,Multiple,,1,0.023,BackEnd advanced search
196,Client,,4/10/2020,Multiple,,17,0.033,BackEnd advanced search
197,Client,,4/10/2020,Multiple,serial murders,0,0,BackEnd advanced search
198,Client,,4/10/2020,Multiple,cnn clip / serial murders,0,0,BackEnd quick search
199,Client,,4/10/2020,Multiple,cnn clip,0,0,FrontEnd quick search
200,Client,,4/10/2020,Multiple,javed iqbal / cnn,0,0.025,BackEnd quick search
201,Client,,4/10/2020,Multiple,javed iqbal,0,0,BackEnd advanced search
202,Client,,4/10/2020,Multiple,javed iqbal,0,0,FrontEnd quick search
203,Client,,4/10/2020,Multiple,isabel gauthier,0,0,FrontEnd quick search
204,Client,,4/9/2020,Multiple,baseball jumbotron,0,0.001,FrontEnd quick search
205,Client,,4/9/2020,Multiple,campus,12,0.053,BackEnd quick search
206,Client,,4/9/2020,Multiple,,17,0.026,BackEnd advanced search
207,Client,,4/9/2020,Multiple,,17,0.021,BackEnd advanced search
208,Client,,4/9/2020,Multiple,&quot;student section&quot;,0,0,BackEnd quick search
209,Client,,4/9/2020,Multiple,,17,0.024,BackEnd advanced search
210,Client,,4/9/2020,Multiple,students,0,0,FrontEnd quick search
211,Client,,4/9/2020,Multiple,,17,0.173,FrontEnd quick search
212,Client,,4/9/2020,Multiple,,17,0.199,FrontEnd quick search
213,Client,,4/8/2020,Multiple,trailblazers,0,0,FrontEnd quick search
214,Client,,4/7/2020,Multiple,Julianna Staples,0,0.001,FrontEnd quick search
215,Client,,4/7/2020,Multiple,ventilator,0,0,FrontEnd quick search
216,Client,,4/6/2020,Multiple,students,0,0,BackEnd quick search
217,Client,,4/6/2020,Multiple,students,0,0,BackEnd advanced search
218,Client,,4/6/2020,Multiple,&quot;student section&quot; / students,0,0,BackEnd quick search
219,Client,,4/6/2020,Multiple,&quot;student section&quot;,0,0,FrontEnd quick search
220,Client,,4/3/2020,Multiple,nurses / nurse,0,0,BackEnd quick search
221,Client,,4/3/2020,Multiple,nurses,0,0.001,FrontEnd quick search
222,Client,,4/3/2020,Multiple,,17,0.157,FrontEnd quick search
223,Client,,4/1/2020,Multiple,,20,0.024,BackEnd advanced search
224,Client,,4/1/2020,Multiple,,17,0.041,BackEnd advanced search
225,Client,,4/1/2020,Multiple,&quot;student leadership&quot;,0,0,FrontEnd quick search
226,Client,,3/31/2020,Multiple,Rena Robinson,0,0,FrontEnd quick search
227,Client,,3/30/2020,Multiple,&quot;students event&quot;,0,0.008,BackEnd quick search
228,Client,,3/30/2020,Multiple,students,0,0,FrontEnd advanced search
229,Client,,3/30/2020,Multiple,students,0,0.001,BackEnd advanced search
230,Client,,3/30/2020,Multiple,students,0,0,FrontEnd advanced search
231,Client,,3/30/2020,Multiple,students,0,0,FrontEnd quick search
232,Client,,3/30/2020,Multiple,,17,0.031,BackEnd advanced search
233,Client,,3/30/2020,Multiple,students,0,0,BackEnd advanced search
234,Client,,3/30/2020,Multiple,logo / students,0,0,BackEnd quick search
235,Client,,3/30/2020,Multiple,logo / studentas,0,0,BackEnd quick search
236,Client,,3/30/2020,Multiple,logo / studenta,0,0.001,BackEnd quick search
237,Client,,3/30/2020,Multiple,logo,0,0,FrontEnd quick search
238,Client,,3/27/2020,Multiple,campus,12,0.044,BackEnd advanced search
239,Client,,3/27/2020,Multiple,Kirkland / campus,4,0.043,BackEnd quick search
240,Client,,3/27/2020,Multiple,Kirkland / Kirkland hall,4,0.053,BackEnd quick search
241,Client,,3/27/2020,Multiple,Kirkland,4,0.027,FrontEnd quick search
242,Client,,3/27/2020,Multiple,fazio,0,0,FrontEnd quick search
243,Client,,3/26/2020,Multiple,students,0,0,FrontEnd quick search
244,Client,,3/25/2020,Multiple,wond&#39;ry / engineering and science,0,0.004,BackEnd quick search
245,Client,,3/25/2020,Multiple,wond&#39;ry,0,0.001,FrontEnd quick search
246,Client,,3/25/2020,Multiple,,21,0.022,FrontEnd quick search
247,Client,,3/23/2020,Multiple,nursing,0,0,BackEnd advanced search
248,Client,,3/23/2020,Multiple,nursing,0,0,BackEnd advanced search
249,Client,,3/23/2020,Multiple,nurding / nursing,0,0.001,BackEnd quick search
250,Client,,3/23/2020,Multiple,nurding,0,0,FrontEnd quick search
251,Client,,3/13/2020,Multiple,,17,0.023,BackEnd quick search
252,Client,,3/13/2020,Multiple,&quot;School of Nursing&quot;,0,0,BackEnd advanced search
253,Client,,3/13/2020,Multiple,&quot;School of Nursing&quot;,0,0,BackEnd advanced search
254,Client,,3/13/2020,Multiple,&quot;School of Nursing&quot;,0,0,BackEnd advanced search
255,Client,,3/13/2020,Multiple,&quot;School of Nursing&quot;,0,0.004,BackEnd quick search
256,Client,,3/13/2020,Multiple,Nurse,0,0,BackEnd advanced search
257,Client,,3/13/2020,Multiple,nursing / Nurse,0,0,BackEnd quick search
258,Client,,3/13/2020,Multiple,nursing,0,0,FrontEnd quick search
259,Client,,3/13/2020,Multiple,,17,0.015,BackEnd advanced search
260,Client,,3/13/2020,Multiple,nursing / nursing,0,0.015,BackEnd quick search
261,Client,,3/13/2020,Multiple,nursing,0,0,FrontEnd quick search
262,Client,,3/12/2020,Multiple,coronavirus,0,0,FrontEnd quick search
263,Client,,3/12/2020,Multiple,Owen,0,0.02,BackEnd quick search
264,Client,,3/9/2020,Multiple,&quot;the Wond&#39;ry&quot;,0,0,FrontEnd quick search
265,Client,,3/9/2020,Multiple,tornado,0,0.001,FrontEnd quick search
266,Client,,3/9/2020,Multiple,&quot;Vanderbilt School of Nursing&quot; / School of Nursing,0,0.002,BackEnd advanced search
267,Client,,3/9/2020,Multiple,&quot;Vanderbilt School of Nursing&quot; / School of Nursing,0,0.001,BackEnd advanced search
268,Client,,3/9/2020,Multiple,&quot;Vanderbilt School of Nursing&quot; / School of Nursing,0,0,BackEnd quick search
269,Client,,3/9/2020,Multiple,&quot;Vanderbilt School of Nursing&quot;,0,0,FrontEnd quick search
270,Client,,3/9/2020,Multiple,&quot;Vanderbilt School of Nursing&quot;,0,0,FrontEnd quick search
271,Client,,3/9/2020,Multiple,nursing school,0,0,FrontEnd quick search
272,Client,,3/9/2020,Multiple,lauren jackson,0,0,BackEnd advanced search
273,Client,,3/9/2020,Multiple,lauren jackson,0,0,BackEnd advanced search
274,Client,,3/9/2020,Multiple,lauren jackson,0,0,FrontEnd quick search
275,Client,,3/9/2020,Multiple,lauren jackson,0,0,FrontEnd quick search
276,Client,,3/9/2020,Multiple,nursing simulation room,0,0.001,FrontEnd quick search
277,Client,,3/9/2020,Multiple,Nursing School - Students work in the nursing simulation room / nursing simulation room,0,0.032,BackEnd quick search
278,Client,,3/9/2020,Multiple,Nursing School - Students work in the nursing simulation room,0,0.001,FrontEnd quick search
279,Client,,3/6/2020,Multiple,downtown,9,0.03,BackEnd advanced search
280,Client,,3/6/2020,Multiple,aerial / downtown,9,0.087,BackEnd quick search
281,Client,,3/6/2020,Multiple,aerial,14,0.051,FrontEnd quick search
282,Client,,3/5/2020,Multiple,Rena Robinson,0,0.001,FrontEnd quick search
283,Client,,3/4/2020,Multiple,candice,0,0.001,FrontEnd quick search
284,Client,,3/4/2020,Multiple,2019 / &quot;Blair School of Music&quot;,0,0.006,BackEnd quick search
285,Client,,3/4/2020,Multiple,2019,8,0.016,BackEnd advanced search
286,Client,,3/4/2020,Multiple,,17,0.02,BackEnd advanced search
287,Client,,3/4/2020,Multiple,Blair group shots,0,0,BackEnd quick search
288,Client,,3/4/2020,Multiple,,17,0.021,BackEnd advanced search
289,Client,,3/4/2020,Multiple,bonnie.ertelt@vanderbilt.edu,0,0,FrontEnd quick search
290,Client,,3/3/2020,Multiple,kirkland,4,0.033,FrontEnd quick search
291,Client,,3/2/2020,Multiple,ingram commons,0,0,FrontEnd quick search
292,Client,,2/27/2020,Multiple,frier / Murrell,0,0,BackEnd quick search
293,Client,,2/27/2020,Multiple,frier / Jacob Frier,0,0.001,BackEnd quick search
294,Client,,2/27/2020,Multiple,frier,0,0,FrontEnd quick search
295,Client,,2/27/2020,Multiple,carl johnson,0,0,FrontEnd quick search
296,Client,,2/26/2020,Multiple,globalvu,0,0,FrontEnd quick search
297,Client,,2/25/2020,Multiple,20150107DD,0,0,FrontEnd quick search
298,Client,,2/25/2020,Multiple,william,0,0.001,BackEnd advanced search
299,Client,,2/25/2020,Multiple,robinson / william,0,0,BackEnd quick search
300,Client,,2/25/2020,Multiple,robinson,0,0,FrontEnd quick search
301,Client,,2/25/2020,Multiple,&quot;William H. Robinson&quot;,0,0,BackEnd quick search
302,Client,,2/25/2020,Multiple,robinson,0,0,BackEnd quick search
303,Client,,2/25/2020,Multiple,william robinson,0,0.001,BackEnd quick search
304,Client,,2/25/2020,Multiple,,17,0.045,BackEnd advanced search
305,Client,,2/25/2020,Multiple,&quot;William H. Robinson&quot;,0,0,FrontEnd quick search
306,Client,,2/24/2020,Multiple,fazio,0,0,FrontEnd quick search
307,Client,,2/24/2020,Multiple,globalvu workshop,0,0,BackEnd quick search
308,Client,,2/24/2020,Multiple,globalvu,0,0,BackEnd advanced search
309,Client,,2/24/2020,Multiple,sahel / globalvu,0,0,BackEnd quick search
310,Client,,2/24/2020,Multiple,sahel / globalvu workshop,0,0,BackEnd quick search
311,Client,,2/24/2020,Multiple,sahel / globalvu workshop,0,0,BackEnd quick search
312,Client,,2/24/2020,Multiple,sahel / flobalvu workshop,0,0.001,BackEnd quick search
313,Client,,2/24/2020,Multiple,sahel,0,0,FrontEnd quick search
314,Client,,2/19/2020,Multiple,university,11,0.045,FrontEnd quick search
315,Client,,2/18/2020,Multiple,ellisbw,0,0,FrontEnd quick search
316,Client,,2/18/2020,Multiple,Law,0,0,FrontEnd quick search
317,Client,,2/18/2020,Multiple,&quot;Law School&quot;,0,0,FrontEnd quick search
318,Client,,2/18/2020,Multiple,law school,0,0,FrontEnd advanced search
319,Client,,2/18/2020,Multiple,law school,0,0,BackEnd advanced search
320,Client,,2/18/2020,Multiple,phyllis garner / law school,0,0,BackEnd quick search
321,Client,,2/18/2020,Multiple,phyllis garner,0,0,FrontEnd quick search
322,Client,,2/18/2020,Multiple,law,0,0,FrontEnd quick search
323,Client,,2/18/2020,Multiple,&quot;Law School&quot;,0,0,FrontEnd quick search
324,Client,,2/18/2020,Multiple,&quot;Law School&quot;,0,0,FrontEnd quick search
325,Client,,2/18/2020,Multiple,law school,0,0,FrontEnd quick search
326,Client,,2/16/2020,Multiple,Harambee,0,0,FrontEnd quick search
327,Client,,2/14/2020,Multiple,Workshop / Payare,0,0,BackEnd quick search
328,Client,,2/14/2020,Multiple,Workshop / Shadle,0,0,BackEnd quick search
329,Client,,2/14/2020,Multiple,Workshop / Calico,0,0,BackEnd quick search
330,Client,,2/14/2020,Multiple,Workshop / Art and Power,0,0,BackEnd advanced search
331,Client,,2/14/2020,Multiple,Workshop / Art and Power,0,0,BackEnd advanced search
332,Client,,2/14/2020,Multiple,Workshop / Art and Power,0,0,FrontEnd advanced search
333,Client,,2/14/2020,Multiple,Workshop / Art and Power,0,0,BackEnd quick search
334,Client,,2/14/2020,Multiple,Workshop,0,0,FrontEnd quick search
335,Client,,2/14/2020,Multiple,building,8,0.029,FrontEnd quick search
336,Client,,2/14/2020,Multiple,Blair / GlobalVU,0,0.03,BackEnd quick search
337,Client,,2/14/2020,Multiple,Blair,5,0.07,FrontEnd quick search
338,Client,,2/13/2020,Multiple,,13,2.54,BackEnd advanced search
339,Client,,2/13/2020,Multiple,&quot;Cohen Fine Arts Gallery&quot;,0,0,FrontEnd quick search
340,Client,,2/13/2020,Multiple,,13,0.028,BackEnd advanced search
